Source,Headword,Definition
UMD 2009,ostembryon,تعظم الجنين
UMD 2009,Q%hypertrophic pneumic osteoarthropathy,اعتلال مفصلي عظمي ضخامي رئوي المنشأ
UMD 2009,S'hypertrophic pulmonary osteoarthropathy,اعتلال مفصلي عظمي ضخامي رئوي المنشأ
UMD 2009,T(idiopathic hypertrophic osteoarthropathy,اعتلال مفصلي عظمي ضخامي مجهول السبب
UMD 2009,M'secondary hypertrophic osteoarthropathy,اعتلال مفصلي عظمي ضخامي ثانوي
UMD 2009,g-calcaneal osteochondritis (Achilles bursitis),التهاب العظم و الغضروف العقبي التهاب جراب العرقوب
UMD 2009,P#osteochondritis deformans juvenilis,التهاب العظم و الغضروف المشوه اليفعي
UMD 2009,Iosteochondritis ischiopubica,التهاب العظم و الغضروف الإسكي العاني
UMD 2009,Aosteochondritis necroticans,التهاب العظم و الغضروف النخري
UMD 2009,Bsyphilitic osteochondritis,التهاب العظام و الغضاريف الزهري
UMD 2009,i-osteochondrolysis (osteochondritis dissecans),انحلال العظم و الغضروف التهاب العظم والغضروف السالخ
UMD 2009,"N""osteochondrophyte (osteochondroma)",نابتة عظمية غضروفية ورم عظمي غضروفي
UMD 2009,osteocopic,مصاب بالألم العظمي المبرح
UMD 2009,O%osteodysplasty of Melnick and Needles,خلل تنسج العظم بحسب ميلنيك ونيدلز
UMD 2009,B!osteogenesis imperfecta congenita,تكون العظم الناقص الخلقي
UMD 2009,osteogram,مخطط توصيف العظم
UMD 2009,osteologia,علم العظام
UMD 2009,V%giant osteoid osteoma (osteoblastoma),ورم العظمانيات العملاقة ورم أرومات العظم
UMD 2009,C osteoma durum (osteoma eburneum),ورم عظمي صلب ورم عظمي عاجي
UMD 2009,W)osteoma sarcomatosum (osteogenic sarcoma),ورم عظمي ساركومي ساركومة عظمية المنشأ
UMD 2009,N#bovine osteomalacia (aphosphorosis),تلين العظام البقري نقص فسفور النسج
UMD 2009,Krenal tubular osteomalacia,تلين العظام التالي لمرض النبيبات الكلوية
UMD 2009,Kconchiolin osteomyelitis,التهاب العظم و النقي باستنشاق غبار الأصداف
UMD 2009,T'sclerosing nonsuppurative osteomyelitis,التهاب العظم و النقي اللاقيحي المصلب
UMD 2009,I#osteomyelosclerosis (myelofibrosis),تصلب العظم و النقي تليف النقي
UMD 2009,K'osteopathia condensans (myelosclerosis),اعتلال عظمي مكثف تصلب النقي
UMD 2009,"M""osteopathia condensans disseminata",اعتلال عظمي مكثف منتثر تبكل العظام
UMD 2009,G!osteopathia hemorrhagica infantum,الاعتلال العظمي النزفي الطفلي
UMD 2009,W)alimentary osteopathy (hunger osteopathy),اعتلال عظمي اغتذائي اعتلال عظمي مجاعي
UMD 2009,M'scorbutic osteopathy (infantile scurvy),اعتلال عظمي بثعي البثع الطفلي
UMD 2009,f.alveolodental osteoperiostitis (periodontitis),التهاب العظم و السمحاق السنخي التهاب دواعم السن
UMD 2009,Csubperiosteal osteophytosis,داء النوابت العظمية تحت السمحاق
UMD 2009,K(osteoplastica (osteitis fibrosa cystica),التهاب العظم الليفي الكيسي
UMD 2009,F!osteoporosis circumscripta cranii,تخلخل العظام القحفية المتحدد
UMD 2009,P*osteopsathyrosis (osteogenesis imperfecta),هشاشة العظم تكون العظم الناقص
UMD 2009,J'osteosclerosis fragilis (osteopetrosis),تصلب العظم الهش تصخر العظم
UMD 2009,W-osteosclerosis myelofibrosis (myelosclerosis),تصلب العظم وتليف النقي تصلب النقي
UMD 2009,A ivory osteosis (compact osteoma),تعظم عاجي ورم عظمي مكتنز
UMD 2009,d/parathyroid osteosis (osteitis fibrosa cystica),تعظم دريقي المنشأ التهاب العظم الليفي الكيسي
UMD 2009,Fpelvic osteotomy (pubiotomy),قطع العظم الحوضي قطع العظم العاني
UMD 2009,K#ostium atrioventriculare dextrum NA,الفوهة الأذينية البطينية اليمنى
UMD 2009,M%ostium atrioventriculare sinistrum NA,الفوهة الأذينية البطينية اليسرى
UMD 2009,A!ostium pharyngeum tubae auditivae,الفوهة البلعومية للنفير
UMD 2009,O%ostium urethrae externum femininae NA,الفوهة الإحليلية الأنثوية الظاهرة
UMD 2009,O&ostium urethrae externum masculinae NA,الفوهة الإحليلية الذكرية الظاهرة
UMD 2009,B ostium venae cavae inferioris NA,فوهة الوريد الأجوف السفلي
UMD 2009,B ostium venae cavae superioris NA,فوهة الوريد الأجوف العلوي
UMD 2009,Hpersistent ostium primum,الفوهة الأولية المستديمة تشوه خلقي قلبي
UMD 2009,X/sphenoidal ostium (apertura sinus sphenoidalis),الفوهة الوتدية فتحة الجيب الوتدي
UMD 2009,othelcosis,تقرح الأذن
UMD 2009,Z!aviation otitis (barotitis media),التهاب الأذن الطيراني التهاب الأذن الوسطى الضغطي
UMD 2009,Aotitis externa circumscripta,التهاب الأذن الظاهرة المتحدد
UMD 2009,L#otitis labyrinthica (labyrinthitis),التهاب الأذن التيهي التهاب التيه
UMD 2009,Gotitis media catarrhalis acuta,التهاب الأذن الوسطى النزلي الحاد
UMD 2009,K!otitis media catarrhalis chronica,التهاب الأذن الوسطى النزلي المزمن
UMD 2009,Eotitis media purulenta acuta,التهاب الأذن الوسطى القيحي الحاد
UMD 2009,Iotitis media purulenta chronica,التهاب الأذن الوسطى القيحي المزمن
UMD 2009,Notitis media vasomotorica,التهاب الأذن الوسطى ذو المنشأ المحرك الوعائي
UMD 2009,Cotocerebritis (otoencephalitis),التهاب الدماغ الأذني المنشأ
UMD 2009,F&otoconia (statoconia),غبار الأذن غبار التوازن
UMD 2009,otoconite,غبرة الأذن غبرة التوازن
UMD 2009,otocranial,متعلق بالقحف الأذني
UMD 2009,Otodectes,عضاض الأذن جنس من السوس
UMD 2009,otography,توصيف الأذن
UMD 2009,B)Otomyces purpureus (Aspergillus nidulans),الرشاشية المعششة
UMD 2009,Cotoneurologic (otoneurological),متعلق بالجهاز العصبي الأذني
UMD 2009,otopiesis,انكماش طبلة الأذن
UMD 2009,otoplasty,رأب الأذن
UMD 2009,R&reduced interarch distance overclosure,فرط الإغلاق بنقص المسافة بين الفكين
UMD 2009,L&nonobstructive pulmonary overinflation,فرط الانتفاخ الرئوي غير الساد
UMD 2009,E#obstructive pulmonary overinflation,فرط الانتفاخ الرئوي الساد
UMD 2009,O'emotional overlay (psychogenic overlay),ترفيد انفعالي ترفيد نفسي المنشأ
UMD 2009,Goverlie,اضطجاع ضائر تقتل الأم الرضيع بالانقلاب فوقه أثناء النوم
UMD 2009,ovination,تضئين تلقيح بفيروس جدري الضأن
UMD 2009,ovocenter,مركز البيضة
UMD 2009,ovomucoid,مخاطاني البيض
UMD 2009,ovotestis,خصمبيض خصية ومبيض
UMD 2009,E#ovula nabothi (Nabothian follicles),بييضات نابوث جريبات نابوث
UMD 2009,W.paracyclic ovulation (supplementary ovulation),إباضة موازية للدورة إباضة إضافية
UMD 2009,BMateer-Streeter ovum,بيضة ماتيرستريتر بيضة ملقحة بعمر يوما
UMD 2009,oxalation,معاملة بالأوكسالات
UMD 2009,oxetorone,أوكسيتورون دواء مسكن في الشقيقة
UMD 2009,Adirect oxidase (oxygenase),أكسيداز مباشرة أكسيجيناز إنزيم
UMD 2009,Gindirect oxidase (peroxidase),أكسيداز لامباشرة بيروكسيداز إنزيم
UMD 2009,Aprimary oxidase (oxygenase),أكسيداز أولية أكسيجيناز إنزيم
UMD 2009,oxilorphan,أوكسيلورفان دواء مضاد للمخدرات
UMD 2009,oximetric,متعلق بمقياس التأكسج
UMD 2009,Foxoglutarate dehydrogenase,نازعة هيدرجين الأوكسوغلوتارات إنزيم
UMD 2009,Noxpentifylline (pentoxifylline),بنتوكسيفيلين دواء موسع للأوعية التاجية
UMD 2009,oxybenzone,أكسي بنزون مادة واقية من الشمس
UMD 2009,oxycyanide,أكسي سيانيد
UMD 2009,oxygenated,مؤكسج
UMD 2009,S*apneic oxygenation (diffusion respiration),أكسجة انقطاع التنفس تنفس انتشاري
UMD 2009,oxygeusia,احتداد الذوق
UMD 2009,Koxyphencyclimine,أكسي فينسيكليمين دواء مضاد للتشنج والإفراز والتمعج
UMD 2009,Doxyphenonium,أكسي فينونيوم دواء مضاد للتشنج والإفراز والتمعج
UMD 2009,Coxyphenylethylamine (tyramine),أكسي فينيل إيثيلامين تيرامين
UMD 2009,oxyphilous,حمض
UMD 2009,oxypurine,أكسي بورين
UMD 2009,oxypurinol,أكسي بورينول
UMD 2009,oxytropism,توجه أكسيجيني
UMD 2009,Y.Oxyuris vermicularis (Enterobius vermicularis),الأقصورة الدويدية السرمية الدويدية
UMD 2009,oxyurosis,داء الأقصورات
UMD 2009,P- (para-),رمز لسابقة كيميائية بمعنى بارا
UMD 2009,APABA (para amino benzoic acid),مختصر حمض باراأمينو بنزويك
UMD 2009,W-fixed-rate pacemaker (asynchronous pacemaker),ناظمة ثابتة السرعة ناظمة لامزامنة
UMD 2009,I(Nathan pacemaker (synchronous pacemaker),ناظمة ناثان ناظمة مزامنة
UMD 2009,Tpachyleptomeningitis,التهاب السحايا الثخينة و الرقيقة التهاب الجافية والحنون
UMD 2009,"I""fibrinohemorrhagic pachymeningitis",التهاب الجافية الفبريني النزفي
UMD 2009,K#hypertrophic spinal pachymeningitis,التهاب الجافية النخاعية الضخامي
UMD 2009,O(pachymeningitis cervicalis hypertrophica,التهاب الجافية الرقبية الضخامي
UMD 2009,Osyphilitic pachymeningitis,التهاب الجافية الزهريالتهاب الجافية الإفرنجي
UMD 2009,Bpachymucosa alba (leukoplakia),ثخن المخاطية الأبيض الطلوان
UMD 2009,pachynesis,تثخن المتقدرة
UMD 2009,pachyntic,ثخين
UMD 2009,Epachypleuritis (fibrothorax),الالتهاب المثخن للجنبة تليف صدري
UMD 2009,m/cystic pachyvaginitis (emphysematous vaginitis),الالتهاب المثخن الكيسي للمهبل الالتهاب النفاخي للمهبل
UMD 2009,bulk pack,حشو كتلي
UMD 2009,full pack,كمادة كاملة
UMD 2009,half pack,كمادة نصفية
UMD 2009,salt pack,كمادة ملحية
UMD 2009,dinner pad,وسادة حيز الأكل
UMD 2009,kidney pad,وسادة الكلية
UMD 2009,mixing pad,وسادة المزج
UMD 2009,paper pad,وسادة ورقية
UMD 2009,E!Passavant's pad (Passavant's bar),وسادة باسافان عارضة باسافان
UMD 2009,Gsucking pad (buccal fat pad),وسادة ماصة الوسادة الدهنية الشدقية
UMD 2009,padimate A,باديمات دريئة للأشعة فوق البنفسجية
UMD 2009,padimate O,باديمات دريئة للأشعة فوق البنفسجية
UMD 2009,E PAF (platelet activating factor),مختصر العامل المنشط للصفيحات
UMD 2009,pagophagia,ازدراد الجليد
UMD 2009,P0atypical facial pain (atypical facial neuralgia),ألم عصبي وجهي لا نموذجي
UMD 2009,cord pain,ألم نخاعي المنشأ
UMD 2009,false pain,طلق كاذب
UMD 2009,gas pains,آلام غازية بانتفاخ المعدة أوالأمعاء بالغاز
UMD 2009,B heterotopic pain (referred pain),ألم مغاير التوضع ألم رجيع
UMD 2009,mind pain,ألم نفسي
UMD 2009,nerve pain,ألم عصبي المنشأ
UMD 2009,pain spot,بقعة ألمية
UMD 2009,B phantom pain (phantom limb pain),ألم شبحي ألم الطرف الشبحي
UMD 2009,rest pain,ألم الراحة
UMD 2009,root pain,ألم جذري
UMD 2009,soul pain,ألم نفسي
UMD 2009,spot pains,آلام بقعية
UMD 2009,Rstarting pains,آلام الإغفاء آلام وتشنجات عضلية عند المراحل الأولى من النوم
UMD 2009,"X,Castellani's paint (carbol fuchsin solution)",دهان كاستيلاني محلول الكربول فوكسين
UMD 2009,V#pajaroello (Ornithodorus coriaceus),الباخاريو لادغ الطير الإهابي نوع من القراد
UMD 2009,Q%smokers' palate (stomatitis nicotina),حنك المدخنين التهاب الفم النيكوتيني
UMD 2009,D palatouvularis (musculus uvulae),الحنكية اللهوية عضلة اللهاة
UMD 2009,M%palatum durum osseum (palatum osseum),الحنك الصلب العظمي الحنك العظمي
UMD 2009,K%palatum molle NA (velum palatinum NA),الحنك الرخو الحفاف شراع الحنك
UMD 2009,Bpaleogenesis (palingenesis),رجعة وراثية عودة خصائص الأسلاف
UMD 2009,F paleopallium NA (paleocortex NA),البالة القديمة القشرة القديمة
UMD 2009,Ipaleostriatum (globus pallidus),الجسم المخطط القديم الكرة الشاحبة
UMD 2009,palilexia,تكرار الملفوظ
UMD 2009,palinopsia,تكرر المرئي
UMD 2009,K%pallidum I (globus pallidus medialis),الشاحبة الكرة الشاحبة الإنسية
UMD 2009,M'pallidum II (globus pallidus lateralis),الشاحبة الكرة الشاحبة الوحشية
UMD 2009,liver palm,راحة كبدية حمامى الراحة الكبدية المنشأ
UMD 2009,palmellin,بالميلين صباغ أحمر في طحالب الماء العذب
UMD 2009,palmitoyl,بالميتويل كيمياء
UMD 2009,Aacute thyrotoxic bulbar palsy,شلل بصلي حاد بالتسمم الدرقي
UMD 2009,O*brachial palsy (brachial plexus paralysis),شلل عضدي شلل الضفيرة العضدية
UMD 2009,T-creeping palsy (progressive muscular atrophy),شلل زاحف الضمور العضلي المترقي
UMD 2009,I&diver's palsy (decompression sickness),شلل الغواص داء تخفيف الضغط
UMD 2009,N%Landry's palsy (febrile polyneuritis),شلل لاندري التهاب الأعصاب الحموي
UMD 2009,Flead palsy (lead neuropathy),شلل الرصاص اعتلال الأعصاب بالرصاص
UMD 2009,R.Saturday night palsy (musculospinal paralysis),الشلل العضلي النخاعي المنشأ
UMD 2009,A#scrivener's palsy (writer's cramps),شلل الكتاب معص الكتاب
UMD 2009,X-spastic bulbar palsy (pseudobulbar paralysis),شلل بصلي تشنجي الشلل البصلي الكاذب
UMD 2009,X+supranuclear palsy (pseudobulbar paralysis),الشلل فوق النووي الشلل البصلي الكاذب
UMD 2009,b+tardy median palsy (carpal tunnel syndrome),شلل العصب المتوسط المتأخر متلازمة النفق الرسغي
UMD 2009,b+tardy ulnar palsy (cubital tunnel syndrome),شلل العصب الزندي المتأخر متلازمة النفق المرفقي
UMD 2009,P'wasting palsy (spinal muscular atrophy),شلل ضموري ضمور عضلي نخاعي المنشأ
UMD 2009,pamaquine,باماكين دواء مضاد للملاريا
UMD 2009,pamatolol,باماتولول دواء مضاد للأدرينيات
UMD 2009,Apanangiitis,التهاب الأوعية الشامل لجميع الغلالات الوعائية
UMD 2009,Ldiffuse necrotizing panangiitis,التهاب الأوعية الشامل الناخر المنتشر
UMD 2009,Kpanarteritis (polyarteritis),التهاب الشرايين الشامل التهاب الشرايين
UMD 2009,"I""Willis' pancreas (lesser pancreas)",بنكرياس ويليس البنكرياس الأصغر
UMD 2009,Dacute hemorrhagic pancreatitis,التهاب البنكرياس النزفي الحاد
UMD 2009,Bacute relapsing pancreatitis,التهاب البنكرياس الناكس الحاد
UMD 2009,Echronic relapsing pancreatitis,التهاب البنكرياس الناكس المزمن
UMD 2009,Apancytopenia (panhematopenia),قلة الكريات الشاملة في الدم
UMD 2009,Fhypersplenic pancytopenia,قلة الكريات الشاملة بفرط نشاط الطحال
UMD 2009,"S,pandysautonomia (acute autonomic neuropathy)",الاعتلال العصبي المستقلي الحاد
UMD 2009,JPette-Doring panencephalitis,التهاب الدماغ الشامل بحسب بيتي دورينغ
UMD 2009,Q#subacute sclerosing panencephalitis,التهاب الدماغ الشامل المصلب تحت الحاد
UMD 2009,Fbreast pang (angina pectoris),الألم الصدري المفاجىء ذبحة صدرية
UMD 2009,Rprimary splenic panhematopenia,قلة الكريات الشاملة الأولية الطحالية المنشأ
UMD 2009,F'panhysterectomy (complete hysterectomy),الاستئصال الشامل للرحم
UMD 2009,Opanhysterosalpingo-oophorectomy,الاستئصال الشامل للرحم و البوق و المبيض
UMD 2009,panidrosis,تعرق شامل
UMD 2009,f&panleukopenia (feline viral enteritis),قلة الكريات البيض الشاملة التهاب الأمعاء الفيروسي الهري
UMD 2009,J&constitutional infantile panmyelopathy,اعتلال نقيي بنيوي طفلي شامل
UMD 2009,P panneuritis epidemica (beriberi),التهاب الأعصاب الشامل الوبائي البري بري
UMD 2009,Dpannus,سبل غشاء التهابي ليفي وعائي سطحي في القرنية أو المفصل
UMD 2009,D&pannus sarcomatous (pannus vasculosus),سبل ساركومي سبل وعائي
UMD 2009,panphobia,رهاب شامل
UMD 2009,Jpantankyloblepharon,التصاق الأجفان الشامل بمقلة العين وفي ما بينها
UMD 2009,panthodic,شعواء
UMD 2009,Ppanzerherz (armored heart),قلب مسلح التهاب التامور اللاصق المتكلس المزمن
UMD 2009,U&Papanicolaou smear (Papanicolaou test),لطاخة بابا نيكولاو اختبار بابا نيكولاو
UMD 2009,Aasthma paper (niter paper),ورق الربو ورق نترات البوتاسيوم
UMD 2009,B%niter paper (potassium nitrate paper),ورق نترات البوتاسيوم
UMD 2009,"I""acoustic papilla (organum spirale)",الحليمة السمعية العضو الحلزوني
UMD 2009,bBergmeister's papilla,حليمة برغمايستر كتلة من العصبونات في مركز القرص البصري في عين الجنين
UMD 2009,C*circumvallate papillae (papillae vallatae),الحليمات الكأسية
UMD 2009,"L,conoid papillae of tongue (papillae conicae)",حليمات اللسان المخروطية
UMD 2009,R&interdental papilla (gingival papilla),الحليمة بين الأسنان الحليمة اللثوية
UMD 2009,W(interproximal papilla (gingival papilla),الحليمة بين المتدانيات الحليمة اللثوية
UMD 2009,e0obtuse papillae of tongue (papillae fungiformes),الحليمات المنفرجة في اللسان الحليمات الكمئية
UMD 2009,L#optic papilla (discus nervi optici),الحليمة البصرية قرص العصب البصري
UMD 2009,L#palatine papilla (papilla incisiva),الحليمة الحنكية الحليمة القاطعية
UMD 2009,W+papilla interdentalis NA (gingival papilla),الحليمة بين الأسنان الحليمة اللثوية
UMD 2009,V*papilla nervi optici (discus nervi optici),حليمة العصب البصري قرص العصب البصري
UMD 2009,"H""papilla of Morgagni (anal papilla)",حليمة مورغاني الحليمة الشرجية
UMD 2009,W(papilla of Vater (papilla duodeni major),حليمة فاتر الحليمة الإثناعشرية الكبيرة
UMD 2009,"K""papilla spiralis (organum spirale)",الحليمة الحلزونية العضو الحلزوني
UMD 2009,b.small papillae of tongue (papillae filiformes),الحليمات الصغيرة في اللسان الحليمات الخيطية
UMD 2009,Y+sublingual papilla (caruncula sublingualis),الحليمة تحت اللسان اللحيمة تحت اللسان
UMD 2009,B)vallate papillae (circumvallate papillae),الحليمات الكأسية
UMD 2009,e0villous papillae of tongue (papillae filiformes),الحليمات الزغابية في اللسان الحليمات الخيطية
UMD 2009,Gpapilloedema (papilledema),وذمة الحليمة وذمة حليمة العصب البصري
UMD 2009,U+basal cell papilloma (seborrheic keratosis),ورم حليمي قاعدي الخلايا تقران مثي
UMD 2009,C!cutaneous papilloma (acrochordon),ورم حليمي جلدي ثؤلول معنق
UMD 2009,K(ductal papilloma (intraductal papilloma),الورم الحليمي داخل القنوات
UMD 2009,"X,fibroepithelial papilloma (fibroepithelioma)",ورم حليمي ليفي ظهاري ورم ظهاري ليفي
UMD 2009,P%Hopmann's papilloma (Hopmann's polyp),الورم الحليمي لهوبمان سليلة هوبمان
UMD 2009,P+papilloma acuminatum (condyloma acuminatum),ورم حليمي مؤنف ورم لقمي مؤنف
UMD 2009,Wpapilloma choroideum,ورم حليمي مشيموي الورم الحليمي للضفيرة المشيموية في الدماغ
UMD 2009,F#papilloma diffusum (papillomatosis),ورم حليمي منتشر ورام حليمي
UMD 2009,Apapilloma inguinale tropicum,الورم الحليمي الأربي المداري
UMD 2009,Mpapilloma of choroid plexus,الورم الحليمي للضفيرة المشيموية في الدماغ
UMD 2009,"C""Shope papilloma (rabbit papilloma)",الورم الحليمي في الأرانب
UMD 2009,Asquamous cell papilloma,الورم الحليمي ذو الخلايا الحرشفية
UMD 2009,Gtransitional cell papilloma,الورم الحليمي ذو الخلايا الانتقالية
UMD 2009,Ezygomatic papilloma (yaws),الورم الحليمي الوجني الداء العليقي
UMD 2009,G'confluent and reticulate papillomatosis,ورام حليمي متمادي ومشبك
UMD 2009,Bpapillosphincterotomy,قطع مصرة الحليمة الإثناعشرية الكبيرة
UMD 2009,dry papule,حطاطة جافة
UMD 2009,Bmucous papule (condyloma latum),حطاطة مخاطية ورم لقمي مسطح
UMD 2009,Cmalignant atrophic papulosis,كثرة الحطاطات الضمورية الخبيثة
UMD 2009,par (pair),زوج
UMD 2009,D)para-actinomycosis (pseudo-actinomycosis),داء الشعيات الكاذب
UMD 2009,Epara-nitrosulfathiazole,بارانتروسلفاتيازول دواء مضاد للجراثيم
UMD 2009,parabiont,معايش التصاقي مسخ
UMD 2009,"C""parablepsia (visual hallucination)",خطل الرؤية هلوسة إبصارية
UMD 2009,U*paracele (ventricularis lateralis cerebri),البطين الجانبي البطين الجانبي للمخ
UMD 2009,Eparacetamol (acetaminophen),باراسيتامول دواء مسكن وخافض للحمى
UMD 2009,Cparachromatism (dichromasy),عمى الألوان الجزئي رؤية اللونين
UMD 2009,Eparachromatopsia (dichromasy),عمى الألوان الجزئي رؤية اللونين
UMD 2009,Tparaclinical,لاسريرية شذوذات شكلية أو كيميائية حيوية إضافية للأغراض السريرية
UMD 2009,PParacoccidioides brasiliensis,نظيرة الكروانية البرازيلية نوع من الفطريات
UMD 2009,E)paracoele (ventriculus lateralis cerebri),البطين الجانبي للمخ
UMD 2009,Hparacolitis,التهاب مجاورات القولون التهاب الغشاء الخارجي للقولون
UMD 2009,DParacolobactrum,نظيرة القولونية جنس من الجراثيم تسمية متروكة
UMD 2009,Dparacolpitis,التهاب مجاورات المهبل التهاب الأنسجة حول المهبل
UMD 2009,Rparacone,الحدبة الإنسية الدهليزية الحدبة الخدية للرحى العلوية الأولى أسنان
UMD 2009,paraconid,الحدبة الإنسية اللسانية للرحى السفلية
UMD 2009,paraconule,المخيريط المجاور أسنان
UMD 2009,Gparacusia acris (hyperacusis),خطل السمع الاحتدادي فرط حدة السمع
UMD 2009,R paracusia duplicata (diplacusis),خطل السمع التضاعفي تضاعف الأصوات المسموعة
UMD 2009,Pparacusia of Willis,خطل السمع بحسب ويليس تحسن السمع عند الأصم في الضوضاء
UMD 2009,Qparacusia Willisiana,خطل السمع بحسب ويليس تحسن السمع عند الأصم في الضوضاء
UMD 2009,paracusis,خطل السمع
UMD 2009,E%false paracusis (paracusis of Willis),خطل السمع الكاذب لويليس
UMD 2009,K%paradentosis (juvenile periodontitis),التهاب دواعم السن عند اليفعان
UMD 2009,Hparadimethylamino-benzaldehyde,باراثنائي ميثيل الأمينو بنزالدهيد
UMD 2009,iWeber's paradox,متناقضة ويبر يؤدي التطويل المفرط للعضلة إلى تمديدها ويفقدها ذلك قدرتها على التقلص
UMD 2009,D#paraepilepsy (minor focal epilepsy),نظير الصرع صرع بؤري صغير
UMD 2009,Q)light liquid paraffin (light mineral oil),برافين سائل خفيف زيت معدني خفيف
UMD 2009,I&white soft paraffin (white petrolatum),برافين لين أبيض وذلين أبيض
UMD 2009,RParafilaria multipapillosa,نظيرة الفيلارية الحلماء نوع من الديدان الطفيلية
UMD 2009,C#paraflocculus (accessory flocculus),النديفة الندفة الإضافية
UMD 2009,H*medullary paraganglioma (pheochromocytoma),ورم المستقتمات اللبية
UMD 2009,l*nonchromaffin paraganglioma (chemodectoma),ورم المستقتمات اللاصبوغة بالكروم ورم المستقبلات الكيماوية
UMD 2009,I/paraganglion (pheochrome body),مستقتمة جمستقتمات
UMD 2009,Y)aortic paraganglia (corpora para aortica),مستقتمات أبهرية الأجسام المجاورة للأبهر
UMD 2009,F¶gglutination (group agglutination),تراص النظيرات تراص زمري
UMD 2009,"g,Paragonimus ringeri (Paragonimus Westermani)",جانبية المناسل الرنغرية جانبية المناسل الفسترمانية
UMD 2009,DParagonimus uterobilateralis,جانبية المناسل الرحمية الجانبين
UMD 2009,Y)parahypophysis (accessory pituitary body),النخامية الإضافية الجسم النخامي الإضافي
UMD 2009,f0parakeratosis variegata (retiform parapsoriasis),نظير التقرن المبرقش نظير الصدفية الشبكي الشكل
UMD 2009,paralexic,متعلق أو مصاب بخطل القراءة
UMD 2009,I(heteronymous parallax (crossed parallax),تخاطل مغاير تخاطل متصالب
UMD 2009,E%homonymous parallax (direct parallax),تخاطل مماثل تخاطل مباشر
UMD 2009,K*stereoscopic parallax (binocular parallax),تخاطل مجسم تخاطل العينين
UMD 2009,E#acoustic paralysis (nerve deafness),الشلل السمعي الصمم العصبي
UMD 2009,"X,alternating paralysis (alternate hemiplegia)",الشلل المتناوب الشلل الشقي المتناوب
UMD 2009,g/ambiguohypoglossal paralysis (Tapia's syndrome),شلل النواتين الملتبسة وتحت اللسان متلازمة تابيا
UMD 2009,Darsenical paralysis,شلل التسمم بالزرنيخ شلل التسمم بالأرسنيك
UMD 2009,h0asthenobulbospinal paralysis (myasthenia gravis),الشلل البصلي النخاعي الوهني الوهن العضلي الوخيم
UMD 2009,V.basal ganglionic paralysis (paralysis agitans),شلل العقد القاعدية الشلل الرعاش
UMD 2009,Ibilateral paralysis (diplegia),الشلل الثنائي الجانب الشلل المزدوج
UMD 2009,J.brachial paralysis (brachial plexus paralysis),شلل الضفيرة العضدية
UMD 2009,Bbulbopontopeduncular paralysis,الشلل البصلي الجسري السويقي
UMD 2009,Z)bulbospinal paralysis (myasthenia gravis),الشلل البصلي النخاعي الوهن العضلي الوخيم
UMD 2009,P congenital oculofacial paralysis,الشلل الخلقي في العصبين البصري و الوجهي
UMD 2009,P congential oculofacial paralysis,الشلل الخلقي في العصبين البصري و الوجهي
UMD 2009,P)cubital paralysis (ulnar nerve paralysis),الشلل المرفقي شلل العصب الزندي
UMD 2009,Q*emotional paralysis (hysterical paralysis),الشلل الانفعالي الشلل الهستيري
UMD 2009,N+exhaustion paralysis (hysterical paralysis),شلل الإنهاك الشلل الهستيري
UMD 2009,F(Felton's paralysis (Felton's phenomenon),شلل فلتون ظاهرة فلتون
UMD 2009,Dglossopharyngolabial paralysis,شلل اللسان و البلعوم و الشفاه
UMD 2009,"H""hereditary cerebrospinal paralysis",الشلل الدماغي النخاعي الوراثي
UMD 2009,Dhyperkalemic periodic paralysis,شلل فرط بوتاسيوم الدم الدوري
UMD 2009,Chypokalemic periodic paralysis,شلل نقص بوتاسيوم الدم الدوري
UMD 2009,G#infantile cerebral ataxic paralysis,الشلل الدماغي الرنحي الطفلي
UMD 2009,Y*infectious bulbar paralysis (pseudorabies),الشلل البصلي العدوائي داء الكلب الكاذب
UMD 2009,G%juvenile paralysis (juvenile paresis),الشلل اليفعي الخزل اليفعي
UMD 2009,ZKlumpke's paralysis,شلل كلومبكه شلل كلومبكه دوجرين شلل ضموري في عضلات اليد والذراع
UMD 2009,UKlumpke-Dejerine paralysis,شلل كلومبكه دوجرين شلل ضموري في عضلات اليد والذراع
UMD 2009,Elabioglossolaryngeal paralysis,شلل الشفتين و اللسان و الحنجرة
UMD 2009,J lead paralysis (lead neuropathy),شلل الرصاص اعتلال الأعصاب الرصاصي
UMD 2009,"Q,mimetic paralysis (facial muscles paralysis)",شلل المحاكاة شلل عضلات الوجه
UMD 2009,I'paralysis agitans (Parkinson's disease),الشلل الرعاش داء باركنسون
UMD 2009,N(paralysis of accommodation (cycloplegia),شلل التكيف شلل العضلة الهدبية
UMD 2009,N&peroneal paralysis (crossed leg palsy),الشلل الشظوي شلل الساق المتصالب
UMD 2009,W/progressive general paralysis (general paresis),الشلل العام المترقي الخزل العام
UMD 2009,I%pseudohypertrophic muscular paralysis,الشلل الضخامي العضلي الكاذب
UMD 2009,L(psychic paralysis (hysterical paralysis),الشلل النفسي الشلل الهستيري
UMD 2009,B!tegmental mesencephalic paralysis,شلل سقيفة الدماغ المتوسط
UMD 2009,Cthyrotoxic periodic paralysis,الشلل الانسمامي الدرقي الدوري
UMD 2009,O+Todd's paralysis (postepileptic hemiplegia),شلل تود الفالج التالي للصرع
